step,scenario,centroid_x,centroid_y,spread,polarization,mean_nearest_neighbour_distance,convex_hull_area,elongation_ratio,number_of_clusters,grazing_count,walking_count,travelling_count,regrouping_count,resting_count,mean_speed,mean_energy,mean_food_intake,field_mean_food,field_health_pct,field_biomass_pct,mean_grazing_pressure,degraded_area_pct,mean_ndvi_pct,mean_azimuth_deg
61,scarce,102.75170662906444,62.50556249964436,25.307007681665343,0.220102653245174,4.650560039231078,2738.8240944650097,0.8577137599296011,7,0,0,26,14,0,0.6098034440158863,0.785773133530542,0.0,0.05112410829281239,100.0,46.00484862416625,0.0,0.0,24.325666783590812,177.39670558059703
62,scarce,102.87338015208238,62.59707322222113,25.193765106108007,0.23167304488432064,4.723198370158292,2729.5737399455174,0.8596577976433809,7,0,0,26,14,0,0.6189964327424518,0.7847622374545253,0.0,0.05112419519400052,100.0,46.004926823593856,0.0,0.0,24.325666783590812,194.9171495649212
63,scarce,102.99126177585364,62.69911325519401,25.065193545299728,0.2355556026941399,4.881990491847512,2734.8890969155327,0.8796326246019779,8,0,0,28,12,0,0.6238840854329144,0.783745964960549,0.0,0.05112428209504093,100.0,46.005005022888525,0.0,0.0,24.325666783590812,187.11250302432092
64,scarce,103.11054324250374,62.81141921853879,24.928830515556477,0.23886445772028106,5.04326389004199,2734.9540577257285,0.9087644789275108,9,0,0,29,11,0,0.634386142847549,0.7827181402034168,0.0,0.05112436899593358,100.0,46.00508322205024,0.0,0.0,24.325666783590812,188.2616734372839
65,scarce,103.2360231739051,62.93357495474169,24.794521902568313,0.243049306603824,5.139712487065785,2730.204470428871,0.9391186730517284,8,0,0,29,11,0,0.6451527792947225,0.7816784721461927,0.0,0.0511244558966785,100.0,46.00516142107901,0.0,0.0,24.325666783590812,189.03535062151983
66,scarce,103.37043837334015,63.064214397724484,24.66392508022912,0.24944994546979388,5.239898865059677,2722.128646904086,0.9702789773120344,7,0,0,31,9,0,0.6571719079769036,0.780625583047418,0.0,0.05112454279727569,100.0,46.005239619974844,0.0,0.0,24.325666783590812,190.20910842389372
67,scarce,103.50589203449195,63.19593291557105,24.527766611520185,0.2597421879600556,5.288804755404433,2713.5496504464245,0.9954043537536033,7,0,0,30,10,0,0.6561392092735682,0.7795738299172171,0.0,0.051124629697725125,100.0,46.00531781873772,0.0,0.0,24.325666783590812,182.49305918721203
68,scarce,103.63966240984696,63.32629062906987,24.38367657228857,0.2522758146072225,5.280763904180491,2701.9581947626793,1.0177998729383364,6,0,0,29,11,0,0.6519810772602112,0.7785266507322308,0.0,0.05112471659802684,100.0,46.005396017367666,0.0,0.0,24.325666783590812,192.3927304647415
69,scarce,103.78510241716587,63.45349092450535,24.233409603888077,0.2531871074285675,5.226211024230685,2701.517430173204,1.0391759005000538,6,0,0,28,12,0,0.6475378050810774,0.7774843591466417,0.0,0.05112480349818081,100.0,46.00547421586467,0.0,0.0,24.325666783590812,192.22973618048428
70,scarce,103.94262930803438,63.58376536994789,24.08302405567204,0.26652702122900024,5.234087861740897,2697.0985868227,1.0692825213489587,5,0,0,30,10,0,0.6548952013126935,0.7764339744251977,0.0,0.05112489039818704,100.0,46.00555241422872,0.0,0.0,24.325666783590812,164.13995751950657
71,scarce,104.12486843378592,63.713651563869334,23.924355889949123,0.2751893614070866,5.319665225423708,2706.249179842336,1.1014547054253043,6,0,0,29,11,0,0.6483866471733611,0.775390749113307,0.0,0.051124977298045535,100.0,46.005630612459825,0.0,0.0,24.325666783590812,163.18679798497087
72,scarce,104.32689489413035,63.84735327853944,23.766390387080794,0.32375105862232,5.447746447014084,2710.051949628454,1.1285327019257008,6,0,0,29,11,0,0.6508794967275472,0.7743447816669067,0.0,0.05112506419775629,100.0,46.00570881055799,0.0,0.0,24.325666783590812,168.29305223940418
73,scarce,104.53096874155055,63.99068552467704,23.602763854796194,0.33102570882446875,5.505228182746942,2699.482515877986,1.1527782734431824,5,0,0,30,10,0,0.6547488122109385,0.7732945579734747,0.0,0.051125151097319306,100.0,46.00578700852321,0.0,0.0,24.325666783590812,168.24910662286118
74,scarce,104.75556930874302,64.14247197368832,23.431555834640683,0.3548126121106346,5.559461077110757,2685.5648033394464,1.175776481851254,4,0,0,29,11,0,0.6519295509813837,0.7722474354673953,0.0,0.051125237996734595,100.0,46.00586520635549,0.0,0.0,24.325666783590812,168.51653601121106
75,scarce,104.99436528303595,64.30111891457872,23.262679785521538,0.38055474745685536,5.578356925071666,2668.3954228094954,1.2076051696214085,3,0,0,30,10,0,0.6592562514657544,0.7711922535907829,0.0,0.05112532489600215,100.0,46.005943404054825,0.0,0.0,24.325666783590812,168.43451263574448
76,scarce,105.26318545614745,64.4724050043116,23.08360827114651,0.4071621938146683,5.546285803783727,2647.8839155729656,1.2451006412241985,4,0,0,31,9,0,0.655989935310146,0.7701406646619416,0.0,0.05112541179512195,100.0,46.006021601621214,0.0,0.0,24.325666783590812,167.7880392283405
77,scarce,105.54264328327251,64.64496461102411,22.894257798536437,0.44628196613229704,5.428768567000526,2619.940125523375,1.271091031992988,4,0,0,30,10,0,0.6502052753208778,0.7690954388590887,0.0,0.05112549869409403,100.0,46.006099799054674,0.0,0.0,24.325666783590812,166.58688340009013
78,scarce,105.83239737219758,64.82231914133283,22.705760885983544,0.46237601234623693,5.298770318717875,2592.1436171728856,1.2926549987344567,4,0,0,31,9,0,0.6596105379961855,0.7680398672672929,0.0,0.05112558559291838,100.0,46.00617799635519,0.0,0.0,24.325666783590812,166.11426789430845
79,scarce,106.1191407189286,65.01658754493978,22.509558205212148,0.4572371451706902,5.193641903824004,2557.093360021492,1.3067680239895803,5,0,0,31,9,0,0.6577009048914533,0.7669863962719123,0.0,0.051125672491594984,100.0,46.00625619352275,0.0,0.0,24.325666783590812,166.5963210392054
80,scarce,106.40900001053345,65.21972510347467,22.317313502197983,0.4423689434123051,5.062556783135811,2513.8104074944276,1.2957891235734091,5,0,0,31,9,0,0.664492884478239,0.7659254540989863,0.0,0.051125759390123864,100.0,46.006334390557384,0.0,0.0,24.325666783590812,157.05810451281803
81,scarce,106.7041688774113,65.43274898521764,22.13545321769997,0.4464950915144344,4.980072582890211,2473.162041975913,1.2845832342045802,5,0,0,31,9,0,0.674840436011592,0.7648531296193735,0.0,0.051125846288504986,100.0,46.00641258745905,0.0,0.0,24.325666783590812,147.70813218771536
82,scarce,107.00485999548883,65.65549577448094,21.96696712076889,0.45724865308270923,4.978922079822391,2429.665239459646,1.2737771267615694,5,0,0,31,9,0,0.6828805661779068,0.7637719609965778,0.0,0.0511259331867384,100.0,46.00649078422781,0.0,0.0,24.325666783590812,138.7937600151495
83,scarce,107.31011867073781,65.88775362737994,21.81138659447324,0.4713548354303286,4.970687254529942,2392.860889844953,1.2639806606001633,5,0,0,32,8,0,0.691515082880291,0.7626812944054094,0.0,0.051126020084824066,100.0,46.00656898086361,0.0,0.0,24.325666783590812,139.12393569390628
84,scarce,107.61913595600413,66.12624691713498,21.669770426481808,0.48194840701065333,4.9066522318030295,2379.4101685483693,1.2604891359732076,6,0,0,33,7,0,0.6997164291149899,0.761581606333383,0.0,0.05112610698276201,100.0,46.006647177366474,0.0,0.0,24.325666783590812,130.5205876217444
85,scarce,107.92623059881096,66.36229710474846,21.530507751064466,0.491023388137588,4.8176184777507185,2368.0083218460422,1.2613621796470107,6,0,0,33,7,0,0.6965286108130062,0.7604854248614887,0.0,0.051126193880552215,100.0,46.00672537373641,0.0,0.0,24.325666783590812,122.22732398097637
86,scarce,108.23319085433415,66.59786620125865,21.401465510906746,0.48627305737443527,4.7994168856437325,2374.6106378325203,1.2649840173624212,7,0,0,33,7,0,0.6995083954711039,0.7593859656264705,0.0,0.051126280778194685,100.0,46.00680356997339,0.0,0.0,24.325666783590812,96.3489630379056
87,scarce,108.54325927577304,66.8343551444548,21.28352381994502,0.483024986932916,4.826283217766177,2379.642535920517,1.2837818192120607,7,0,0,34,6,0,0.7078623159642523,0.7582773170789098,0.0,0.05112636767568943,100.0,46.00688176607744,0.0,0.0,24.325666783590812,97.1374320176574
88,scarce,108.85886967867225,67.06730229327725,21.18387784078579,0.4863975702100068,4.81540189773415,2385.0926827786534,1.271961544239882,6,0,0,33,7,0,0.7109348606445208,0.7571652887322008,0.0,0.05112645457303643,100.0,46.00695996204854,0.0,0.0,24.325666783590812,97.22031531674105
89,scarce,109.17708179933406,67.30127297933674,21.10150560360693,0.4894018420954183,4.829738464591964,2388.5719545579122,1.2548856313468786,5,0,0,34,6,0,0.7171783049930504,0.7560463925967085,0.0,0.051126541470235716,100.0,46.00703815788672,0.0,0.0,24.325666783590812,97.55139381445034
90,scarce,109.49881487714512,67.54062451860324,21.035537814673454,0.4954516293388923,4.989918971080139,2399.9240879958234,1.2396499926345195,5,0,0,35,5,0,0.724392270593275,0.754919561099056,0.0,0.05112662836728725,100.0,46.00711635359194,0.0,0.0,24.325666783590812,98.20500799640675
